,ID,Nombre,Max_Channels,Enlace
287,9891,Silent Hill 2,1300.0,https://twitchtracker.com/games/9891
288,1767132907,Suicide Squad: Kill the Justice League,1300.0,https://twitchtracker.com/games/1767132907
289,376500771,Hades II,1300.0,https://twitchtracker.com/games/376500771
290,33180,The Last of Us,1300.0,https://twitchtracker.com/games/33180
291,458781,No Man's Sky,1300.0,https://twitchtracker.com/games/458781
292,496349,Madden NFL 18,1300.0,https://twitchtracker.com/games/496349
293,504735,Shadow of the Tomb Raider,1300.0,https://twitchtracker.com/games/504735
294,489050,Twelve Minutes,1300.0,https://twitchtracker.com/games/489050
295,1746026634,Tarisland,1200.0,https://twitchtracker.com/games/1746026634
296,488758,Vampyr,1200.0,https://twitchtracker.com/games/488758
297,513020,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,1200.0,https://twitchtracker.com/games/513020
298,24872,Nioh,1200.0,https://twitchtracker.com/games/24872
299,506274,Assassin's Creed Odyssey,1200.0,https://twitchtracker.com/games/506274
