,Categoria,Year,Month,AvgViewers,ViewersGain,PercentageGainViewers,PeakViewers,HoursStreamed,HoursGain,% Gain,Followers,PercentageGainFollowers,FollowesGain,Perhour
39,Rubius,2021,Oct,49394,3644,8.0,163325.0,121.0,+20.1,+20%,"10,286,344","+296,682",+3%,"+2,457"
40,Rubius,2021,Sep,45750,8358,22.4,207592.0,101.0,+57.3,+132.1%,"9,989,662","+260,047",+2.7%,"+2,583"
41,Rubius,2021,Aug,37392,-2531,-6.3,67387.0,43.4,-84.7,-66.1%,"9,729,615","+122,392",+1.3%,"+2,822"
42,Rubius,2021,Jul,39923,-4293,-9.7,62905.0,128.0,+27.4,+27.3%,"9,607,223","+226,905",+2.4%,"+1,771"
43,Rubius,2021,Jun,44216,-15923,-26.5,96955.0,101.0,-16.9,-14.4%,"9,380,318","+201,389",+2.2%,"+2,001"
44,Rubius,2021,May,60139,4112,7.3,114227.0,118.0,+7.3,+6.7%,"9,178,929","+258,857",+2.9%,"+2,202"
45,Rubius,2021,Apr,56027,7238,14.8,116978.0,110.0,+13.5,+13.9%,"8,920,072","+259,918",+3%,"+2,358"
46,Rubius,2021,Mar,48789,-8841,-15.3,147745.0,96.8,-1,-1%,"8,660,154","+256,298",+3%,"+2,649"
47,Rubius,2021,Feb,57630,-31931,-35.7,176680.0,97.7,+13.1,+15.4%,"8,403,856","+340,890",+4.2%,"+3,488"
48,Rubius,2021,Jan,89561,23096,34.7,196903.0,84.7,-4,-4.5%,"8,062,966","+497,029",+6.6%,"+5,870"
49,Rubius,2020,Dec,66465,11653,21.3,344676.0,88.7,-9.9,-10.1%,"7,565,937","+427,910",+6%,"+4,825"
50,Rubius,2020,Nov,54812,-7091,-11.5,131419.0,98.6,+1.9,+2%,"7,138,027","+393,581",+5.8%,"+3,991"
51,Rubius,2020,Oct,61903,-8899,-12.6,116704.0,96.7,-20.4,-17.4%,"6,744,446","+384,809",+6.1%,"+3,979"
52,Rubius,2020,Sep,70802,11888,20.2,131129.0,117.0,+7.2,+6.6%,"6,359,637","+476,768",+8.1%,"+4,073"
53,Rubius,2020,Aug,58914,-1298,-2.2,112746.0,110.0,+30.5,+38.5%,"5,882,869","+350,027",+6.3%,"+3,187"
54,Rubius,2020,Jul,60212,1290,2.2,113690.0,79.3,-5.3,-6.2%,"5,532,842","+374,839",+7.3%,"+4,726"
55,Rubius,2020,Jun,58922,-3758,-6.0,162736.0,84.6,-4.1,-4.6%,"5,158,003","+534,691",+11.6%,"+6,320"
56,Rubius,2020,May,62680,-932,-1.5,250851.0,88.7,-28.4,-24.3%,"4,623,312","+446,418",+10.7%,"+5,035"
57,Rubius,2020,Apr,63612,20190,46.5,162935.0,117.0,+10.8,+10.1%,"4,176,894","+462,690",+12.5%,"+3,952"
58,Rubius,2020,Mar,43422,6514,17.6,185109.0,106.0,+27.6,+35%,"3,714,204","+303,495",+8.9%,"+2,854"
59,Rubius,2020,Feb,36908,-5900,-13.8,74702.0,78.8,+1.8,+2.4%,"3,410,709","+206,002",+6.4%,"+2,616"
60,Rubius,2020,Jan,42808,6019,16.4,133749.0,76.9,+11.6,+17.8%,"3,204,707","+385,141",+13.7%,"+5,007"
61,Rubius,2019,Dec,36789,4441,13.7,93442.0,65.3,-4.9,-7%,"2,819,566","+225,848",+8.7%,"+3,458"
62,Rubius,2019,Nov,32348,182,0.6,66260.0,70.2,-9.5,-11.9%,"2,593,718","+239,010",+10.2%,"+3,405"
63,Rubius,2019,Oct,32166,16017,99.2,114950.0,79.7,+17.6,+28.3%,"2,354,708","+281,895",+13.6%,"+3,538"
64,Rubius,2019,Sep,16149,-5507,-25.4,45002.0,62.1,-6.7,-9.8%,"2,072,813","+117,625",+6%,"+1,895"
65,Rubius,2019,Aug,21656,6468,42.6,40105.0,68.8,+15.3,+28.5%,"1,955,188","+176,131",+9.9%,"+2,559"
